ID,Артикул,Имя,Короткое описание,Описание,В наличии?,Запасы,Цена распродажи,Базовая цена,Категории,Мета: _new_product,Мета: _best_seller,Мета: _popular_product,Мета: _onsale_product,Мета: _awooc_button,Мета: _yoast_wpseo_primary_product_cat,Мета: delevery,Мета: _delevery
2103,АРТ-09092007,Футболка,Футболка с высоким воротником,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2104,АРТ-09092008,Футболка,,,1,10,499,1999,,,,,,,,,
2105,АРТ-09092009,Футболка,,,1,5,499,1999,,,,,,,,,
2106,АРТ-09092010,Футболка,,,1,10,499,1999,,,,,,,,,
2107,АРТ-09092011,Футболка,Футболка хенли с выделкой,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2112,АРТ-09092012,Футболка,,,1,10,2799,2999,,,,,,,,,
2113,АРТ-09092013,Футболка,,,1,5,2799,2999,,,,,,,,,
2114,АРТ-09092014,Футболка,,,1,10,2799,2999,,,,,,,,,
2115,АРТ-09092015,Свитшот,Фактурный свитшот с налокотниками,,1,5,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,Условия доставки,field_5d8ca2e66d33f
2116,АРТ-09092016,Свитшот,,,1,10,499,2599,,,,,,,,,
2117,АРТ-09092017,Свитшот,,,1,5,499,2599,,,,,,,,,
2119,АРТ-09092018,Джинсы,Джинсы Jan slim fit,"<span style=""color: #43454b; font-family: 'Open Sans', sans-serif; font-size: 14px;"">Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.</span>",1,10,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2120,АРТ-09092019,Джинсы,,,1,5,499,1599,,,,,,,,,
2121,АРТ-09092020,Джинсы,,,1,10,499,1599,,,,,,,,,
2122,АРТ-09092021,Джинсы,,,1,5,499,1599,,,,,,,,,
2123,АРТ-09092022,Пальто,Пальто Tailored из шерсти,"<span style=""color: #43454b; font-family: 'Open Sans', sans-serif; font-size: 14px;"">Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.</span>",1,10,,,Мужчинам > Одежда,yes,yes,yes,yes,no,123,,
2124,АРТ-09092023,Пальто,,,1,5,2799,7599,,,,,,,,,
2125,АРТ-09092024,Пальто,,,1,10,2799,7599,,,,,,,,,
2126,АРТ-09092025,Пальто,,,1,5,2799,7599,,,,,,,,,
2127,АРТ-09092026,NEW NOW,Жилет с мехом,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",0,10,,,Детям > Одежда,yes,yes,yes,yes,no,130,Условия доставки,field_5d8ca2e66d33f
2128,АРТ-09092027,NEW NOW,,,0,5,499,2699,,,,,,,,,
2129,АРТ-09092028,NEW NOW,,,0,10,499,2699,,,,,,,,,
2130,АРТ-09092029,NEW NOW,,,0,5,499,2699,,,,,,,,,
2131,АРТ-09092030,Сарафан,Вельветовый сарафан с пуговицами,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,yes,no,130,,
2132,АРТ-09092031,Сарафан,,,1,5,499,2799,,,,,,,,,
2133,АРТ-09092032,Сарафан,,,1,10,499,2799,,,,,,,,,
2134,АРТ-09092033,Сарафан,,,1,5,499,2799,,,,,,,,,
2135,АРТ-09092034,BROTHERS & SISTERS,Хлопковое платье с принтом,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,yes,no,130,,
2136,АРТ-09092035,BROTHERS & SISTERS,,,1,5,2799,3199,,,,,,,,,
2137,АРТ-09092036,BROTHERS & SISTERS,,,1,10,2799,3199,,,,,,,,,
2138,АРТ-09092037,BROTHERS & SISTERS,,,1,5,2799,3199,,,,,,,,,
2139,АРТ-09092038,Платье,Принтованное платье с плессировкой,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,yes,no,130,,
2140,АРТ-09092039,Платье,,,1,5,499,2600,,,,,,,,,
2141,АРТ-09092040,Платье,,,1,10,499,2600,,,,,,,,,
2142,АРТ-09092041,Платье,,,1,5,499,2600,,,,,,,,,
2143,АРТ-09092042,Комбинезон,Длинный фактурный комбинезон,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,yes,no,130,,
2144,АРТ-09092043,Комбинезон,,,1,5,2799,4999,,,,,,,,,
2145,АРТ-09092044,Комбинезон,,,1,10,2799,4999,,,,,,,,,
2146,АРТ-09092045,Комбинезон,,,1,5,2799,4999,,,,,,,,,
2147,АРТ-09092046,Джемпер,Джемпер с воротником под горло,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,no,no,130,,
2148,АРТ-09092047,Джемпер,,,1,5,499,999,,,,,,,,,
2149,АРТ-09092048,Джемпер,,,1,10,499,999,,,,,,,,,
2150,АРТ-09092049,Джемпер,,,1,5,499,999,,,,,,,,,
2151,АРТ-09092050,Рубашка,Хлопковая рубашка в стиле денима,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,no,no,130,,
2152,АРТ-09092051,Рубашка,,,1,5,499,599,,,,,,,,,
2153,АРТ-09092052,Рубашка,,,1,10,499,599,,,,,,,,,
2154,АРТ-09092053,Рубашка,,,1,5,499,599,,,,,,,,,
2155,АРТ-09092054,Футболка,Футболка с принтом,"Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.",1,10,,,Детям > Одежда,yes,yes,yes,no,no,130,,
2156,АРТ-09092055,Футболка,,,1,5,999,1599,,,,,,,,,
2157,АРТ-09092056,Футболка,,,1,10,999,1599,,,,,,,,,
2158,АРТ-09092057,Футболка,,,1,5,999,1599,,,,,,,,,
2159,АРТ-09092058,Юбка,Юбка с эластичным поясом,"<span style=""color: #43454b; font-family: 'Open Sans', sans-serif; font-size: 14px;"">Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта. Здесь будет Ваш текст. Вы можете описать преимущества Ваших услуг или товара, добавить интересную информацию для посетителей сайта.</span>",1,10,,,Детям > Одежда,yes,no,yes,no,no,130,,
2160,АРТ-09092059,Юбка,,,1,5,499,599,,,,,,,,,
2161,АРТ-09092060,Юбка,,,1,10,499,599,,,,,,,,,
2162,АРТ-09092061,Юбка,,,1,5,499,599,,,,,,,,,
2163,АРТ-09092062,Брюки,Брюки с деталями по бокам,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2164,АРТ-09092063,Брюки,,,1,5,499,700,,,,,,,,,
2165,АРТ-09092064,Брюки,,,1,10,499,700,,,,,,,,,
2166,АРТ-09092065,Брюки,,,1,5,,,,,,,,,,,
2167,АРТ-09092066,Жакет,Джинсовая куртка из хлопка,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2168,АРТ-09092067,Жакет,,,1,5,2799,3599,,,,,,,,,
2169,АРТ-09092068,Жакет,,,1,10,2799,3599,,,,,,,,,
2170,АРТ-09092069,Жакет,,,1,5,2799,3599,,,,,,,,,
2171,АРТ-09092070,Тренч из хлопка,Классический тренч из хлопка,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2172,АРТ-09092071,Тренч из хлопка,,,1,5,700,1000,,,,,,,,,
2173,АРТ-09092072,Тренч из хлопка,,,1,10,700,1000,,,,,,,,,
2174,АРТ-09092073,Тренч из хлопка,,,1,5,700,1000,,,,,,,,,
2175,АРТ-09092074,Woman EGO,Блуза,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2176,АРТ-09092075,Woman EGO,,,1,5,999,2000,,,,,,,,,
2177,АРТ-09092076,Woman EGO,,,1,10,999,2000,,,,,,,,,
2178,АРТ-09092077,Woman EGO,,,1,5,999,2000,,,,,,,,,
2179,АРТ-09092078,O'stin,Ветровка,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2180,АРТ-09092079,O'stin,,,1,5,2799,2999,,,,,,,,,
2181,АРТ-09092080,O'stin,,,1,10,2799,2999,,,,,,,,,
2182,АРТ-09092081,O'stin,,,1,5,2799,2999,,,,,,,,,
2183,АРТ-09092082,Tom Tailor,Куртка джинсовая,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2184,АРТ-09092083,Tom Tailor,,,1,5,2799,3599,,,,,,,,,
2185,АРТ-09092084,Tom Tailor,,,1,10,2799,3599,,,,,,,,,
2186,АРТ-09092085,Tom Tailor,,,1,5,2799,3599,,,,,,,,,
2187,АРТ-09092086,Adidas,Футболка E LIN BRUSH T,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,no,no,no,126,,
2188,АРТ-09092087,Adidas,,,1,5,999,1990,,,,,,,,,
2189,АРТ-09092088,Adidas,,,1,10,999,1990,,,,,,,,,
2190,АРТ-09092089,Adidas,,,1,5,999,1990,,,,,,,,,
2191,АРТ-09092090,Stradivarius,Блуза,"Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность. Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность Здесь будет Ваш текст. Вы можете добавить краткое описание к товару, описать его свойства и уникальность.",1,10,,,Женщинам > Одежда,yes,yes,yes,yes,no,126,Доставка,field_5d8ca2e66d33f
2192,АРТ-09092091,Stradivarius,,,1,5,2999,4000,,,,,,,,,
2193,АРТ-09092092,Stradivarius,,,1,10,2999,4000,,,,,,,,,
2194,АРТ-09092093,Stradivarius,,,1,5,2999,4000,,,,,,,,,
2226,АРТ-09092094,Свитшот,,,1,10,999,2599,,,,,,,,,
